Empresa,Relógio,ip,Porta,REP,Resp,Tele
building,allianz,172.40.23.148,3000,300303165,TESTE,400028922
building,wtorre,bssp2.modrp.com,3000,125156544,LUCAS VIADO,4332-4040
building,riojaneiro,172.40.22.181,3000,323193269,MINISTRO MARCOS,4332-4040
laser,academia,10.26.9.118,3000,123456789,jesus turista,4332-4040
laser,instituto,10.26.28.247,3000,987654321,,4332-4040
gravex,adm,10.26.37.130,3000,985632147,pinguin,4332-4040
gravex,loja,172.40.22.36,3000,585858585,,4332-4040
gravex,mimarcos,172.40.22.162,3000,999999999,,4332-4040
gravex,dantchini,172.40.22.238,3000,326532653,piruu,4332-4040
casacristo,adm,10.26.8.244,3000,124565321,,4332-4040
casacristo,cei1,10.26.24.104,3000,325896325,,4332-4040
casacristo,cei2,10.26.28.111,3000,585858585,,4332-4040
casacristo,cei3,10.26.35.84,3000,999999999,piruu,4332-4040
casacristo,vovomatilde,10.26.3.239,3000,326532653,,4332-4040
bestinclass,recife,172.40.22.220,3000,,,
bestinclass,itaquera,172.40.22.66,5001,,,
bestinclass,itapevi,10.26.12.178,3000,,,
bestinclass,sorocaba,172.40.22.240,3000,,,
bestinclass,setelagoas,172.40.22.229,3000,,,
bestinclass,curitiba,10.26.23.82,3000,,,
bestinclass,fsant,10.26.33.239,3000,,,
bestinclass,itu,172.40.22.221,3000,,,
bestinclass,guarulhos,10.26.18.240,3000,,,
bestinclass,itaporanga,172.40.22.231,3000,,,
bestinclass,linhares,172.40.22.130,3000,,,
isoradiologia,santana,10.50.2.136,3000,,,
isoradiologia,saomatheus,10.26.2.171,3000,,,
isoradiologia,vilamariana,172.40.22.161,3000,,,
isoradiologia,lapa,10.26.35.215,3000,,,
isoradiologia,santoamaro,10.26.26.23,3000,,,
isoradiologia,cidadedutra,10.26.30.120,3000,,,
isoradiologia,tatuape,10.26.16.225,3000,,,
isoradiologia,campolimpo,10.115.6.57,3000,,,
isoradiologia,ipiranga,10.115.30.117,3000,,,
isoradiologia,anarosa,10.26.33.166,3000,,,
laser,academia,10.26.9.118,3000,,,
laser,instituto,10.26.28.247,3000,,,
gruponk,nelson,10.26.13.92,3000,,,
gruponk,furukawa,10.50.2.131,3000,,,
gruponk,kio1,172.40.22.237,3000,,,
gruponk,kio2,172.40.23.149,3000,,,
gruponk,granjaviana,172.40.23.203,3000,,,
gruponk,santacecilia,10.26.2.55,3000,,,
gruponk,transfruit,10.26.11.32,5151,,,
gruponk,distrdefrutas,10.26.13.144,5151,,,
gruponk,nkhortifruit,10.26.35.7,5151,,,
lotten,sfjardins,10.26.17.58,3000,,,
lotten,alphaville,10.26.30.130,3000,,,
lotten,osasco,10.26.20.98,3000,,,
lotten,santana,10.26.26.111,3000,,,
lotten,tatuape,10.26.12.19,3000,,,
lotten,moema,10.26.26.248,3000,,,
lotten,jardimsul,10.26.20.144,3000,,,
lotten,conceicao,10.26.8.235,3000,,,
lotten,perdizes,10.26.28.18,3000,,,
lotten,lapa,10.26.7.58,3000,,,
lotten,saocaetano,10.26.30.181,3000,,,
lotten,pinheiros,10.26.11.42,3000,,,
lotten,morumbi,10.26.13.171,3000,,,
lotten,berrini,10.26.33.52,3000,,,
lotten,vilamariana,10.26.7.118,3000,,,
lotten,vilaolimpia,10.26.31.242,3000,,,
lotten,itaim,10.26.32.240,3000,,,
lotten,garulhos,10.26.19.160,3000,,,
elrio,botafogomuniz,10.26.38.102,3000,,,
elrio,botafogopraia,10.26.18.78,3000,,,
elrio,boulevard,10.26.17.226,3000,,,
elrio,carioca,172.40.22.244,3000,,,
elrio,centro1,10.26.12.43,3000,,,
elrio,centro2,10.26.25.158,3000,,,
elrio,centro3,10.26.16.202,3000,,,
elrio,fashion,10.26.35.64,3000,,,
elrio,flamengo,172.40.23.145,3000,,,
elrio,leblon,10.26.36.13,3000,,,
elrio,novaamerica,10.26.4.60,3000,,,
elrio,shopgrande,10.26.2.25,3000,,,
elrio,shopmacae,10.26.17.221,3000,,,
elrio,shopnorte,10.26.22.195,3000,,,
elrio,backup1,172.40.23.142,3000,,,
elrio,backup2,10.50.2.13,3000,,,
sbcp,nacional,sbcp.modrp.com,3000,,,
sbcp,es,10.26.16.238,3000,,,
sbcp,df,10.26.30.96,3000,,,
sbcp,ce,10.26.2.185,3000,,,
sbcp,ba,10.26.34.168,3000,,,
sbcp,sp,10.26.24.228,3000,,,
sbcp,sc,10.26.28.124,3000,,,
sbcp,rs,10.26.2.165,3000,,,
sbcp,rj,10.26.23.250,3000,,,
sbcp,pr,10.26.33.121,3000,,,
sbcp,pe,10.26.13.8,3000,,,
sbcp,mg,10.26.33.205,3000,,,
sbcp,go,10.26.33.209,3000,,,
predman,bunge,172.40.22.227,3000,,,
predman,cabot,10.26.27.168,3000,,,
predman,kelloggs,kelloggs.modrp.com,3000,,,
predman,magazine,10.115.1.252,3000,,,
predman,oxiteno1,10.26.11.171,3000,,,
predman,oxiteno2,10.26.9.254,3000,,,
predman,santoandre,10.26.38.115,3000,,,
predman,pysmianes,172.40.23.66,3000,,,
predman,tradegar,10.26.20.211,3000,,,
predman,portao1,pp1.modrp.com,3000,,,
predman,portao2,pp2.modrp.com,3000,,,
predman,sabic,172.40.23.12,3000,,,
predman,santhebrag,10.26.7.100,3000,,,
predman,santhepenha,172.40.22.176,3000,,,
predman,vilavelha,172.40.23.141,3000,,,
predman,faurencia,10.26.7.197,3000,,,
predman,admrondo,10.115.39.181,3000,,,
olimpark,jdpaulista,172.40.22.212,5151,,,
olimpark,santacecilia,10.26.23.188,5151,,,
olimpark,vilaolimpia,10.26.6.231,5151,,,
olimpark,previdencia,10.26.24.75,5151,,,
olimpark,belenzinho,10.26.34.52,5151,,,
olimpark,santana,10.26.29.171,5151,,,
fancold1,givaudan,10.26.11.173,3000,,,
fancold1,yamaha,10.26.29.173,3000,,,
fancold1,odebrecht,10.26.16.112,3000,,,
fancold1,hospjundiai,10.26.20.154,3000,,,
fancold1,escritrionegro,10.26.0.81,3000,,,
fancold1,morumbiprime,10.26.31.12,3000,,,
fancold1,hospmariocovas,10.26.22.90,3000,,,
fancold1,condverbodivino,10.26.19.137,3000,,,
fancold1,herborberrini,10.26.36.158,3000,,,
fancold1,portoatlantico,10.26.1.225,3000,,,
fancold1,awpfreigaspar,10.26.18.144,3000,,,
fancold1,prestcold,10.26.20.145,3000,,,
fancold1,unimedsantos,10.26.36.174,3000,,,
fancold1,cruzadabandeirante,10.26.32.75,3000,,,
fancold1,colgateanchieta,10.26.0.181,3000,,,
fancold1,mdcaieiras,10.26.32.93,3000,,,
fancold1,condmandarim,10.26.15.5,3000,,,
fancold1,rhodiapoliamida,10.26.18.92,3000,,,
fancold1,barratradeprime,10.26.9.219,3000,,,
fancold1,novaspcmf,10.26.33.187,3000,,,
fancold1,unimedpamplona,10.26.28.190,3000,,,
fancold1,ushin,10.26.21.63,3000,,,
fancold1,condmanagercenter,10.26.8.55,3000,,,
fancold1,choicesublimerj,10.26.6.203,3000,,,
fancold1,helbormogidascruzes,10.26.37.80,3000,,,
fancold1,awptomedesouza,10.26.13.67,3000,,,
fancold1,emilioribas,10.26.27.120,3000,,,
fancold1,onthepark,10.26.27.77,3000,,,
fancold1,maayanrj,10.26.18.176,3000,,,
fancold1,cyrellajk,10.26.31.14,3000,,,
