empresa,relogio,ip,porta,REP,Resp,Tele
bestinclass,recife,172.40.22.220,3000,,,
bestinclass,itaquera,172.40.22.66,5001,,,
bestinclass,itapevi,10.26.12.178,3000,,,
bestinclass,sorocaba,172.40.22.240,3000,,,
bestinclass,setelagoas,172.40.22.229,3000,,,
bestinclass,curitiba,10.26.23.82,3000,,,
bestinclass,fsant,10.26.33.239,3000,,,
bestinclass,itu,172.40.22.221,3000,,,
bestinclass,guarulhos,10.26.18.240,3000,,,
bestinclass,itaporanga,172.40.22.231,3000,,,
bestinclass,linhaes,172.40.22.130,3000,,,
lotten,sfjardins,10.26.17.58,3000,,,
lotten,alphaville,10.26.30.130,3000,,,
lotten,osasco,10.26.20.98,3000,,,
lotten,santana,10.26.26.111,3000,,,
lotten,tatuape,10.26.12.19,3000,,,
lotten,moema,10.26.26.248,3000,,,
lotten,jardimsul,10.26.20.144,3000,,,
lotten,conceicao,10.26.8.235,3000,,,
lotten,perdizes,10.26.28.18,3000,,,
lotten,lapa,10.26.7.58,3000,,,
lotten,saocaetano,10.26.30.181,3000,,,
lotten,pinheiros,10.26.11.42,3000,,,
lotten,morumbi,10.26.13.171,3000,,,
lotten,berrini,10.26.33.52,3000,,,
lotten,vilamariana,10.26.7.118,3000,,,
lotten,vilaolimpia,10.26.31.242,3000,,,
lotten,itaim,10.26.32.240,3000,,,
lotten,garulhos,10.26.19.160,3000,,,
forcaeapoio,ifsp,10.26.10.6,3000,,,
forcaeapoio,shoppinghd,10.26.30.126,3000,,,
biosat,biglocacao,10.26.31.225,3000,,,
biosat,bioonline,172.40.22.153,3000,,,
building,allianz,172.40.23.148,3000,,,
building,wtorre,bssp2.modrp.com,3000,,,
building,rj,172.40.22.181,3000,,,
sbcp,nacional,sbcp.modrp.com,3000,,,
sbcp,es,10.26.16.238,3000,,,
sbcp,df,10.26.30.96,3000,,,
sbcp,ce,10.26.2.185,3000,,,
sbcp,ba,10.26.34.168,3000,,,
sbcp,sp,10.26.24.228,3000,,,
sbcp,sc,10.26.28.124,3000,,,
sbcp,rs,10.26.2.165,3000,,,
sbcp,rj,10.26.23.250,3000,,,
sbcp,pr,10.26.33.121,3000,,,
sbcp,pe,10.26.13.8,3000,,,
sbcp,mg,10.26.33.205,3000,,,
sbcp,go,10.26.33.209,3000,,,
olimpark,jdpaulista,172.40.22.212,5151,,,
olimpark,santacecilia,10.26.23.188,5151,,,
olimpark,vilaolimpia,10.26.6.231,5151,,,
olimpark,previdencia,10.26.24.75,5151,,,
olimpark,belenzinho,10.26.34.52,5151,,,
casadocristo,adm,10.26.8.244,3000,,,
casadocristo,cei1,10.26.24.104,3000,,,
casadocristo,cei2,10.26.28.111,3000,,,
casadocristo,cei3,10.26.35.84,3000,,,
casadocristo,vovomatilde,10.26.3.239,3000,,,
predman,bunge,172.40.22.227,3000,,,
predman,cabot,cabot.modrp.com,3000,,,
predman,kelloggs,kelloggs.modrp.com,3000,,,
predman,magazine,10.115.1.252,3000,,,
predman,oxiteno1,ox1.modrp.com,3000,,,
predman,oxiteno2,ox2.modrp.com,3000,,,
predman,oxiteno3,ox3.modrp.com,3000,,,
predman,pysmianes,172.40.23.66,3000,,,
predman,petrus,10.50.2.132,3000,,,
predman,portao1,pp1.modrp.com,3000,,,
predman,portao2,pp2.modrp.com,3000,,,
predman,sabic,172.40.23.12,3000,,,
predman,santhebrag,10.26.7.100,3000,,,
predman,santhepenha,172.40.22.176,3000,,,
predman,vopak,10.50.2.106,3000,,,
predman,faurencia,10.26.7.197,3000,,,
predman,admrondo,10.115.39.181,3000,,,
laser,academia,10.26.9.118,3000,,,
laser,instituto,10.26.28.247,3000,,,
wbr,aricanduva,172.40.22.245,3000,,,
wbr,west,172.40.23.64,3000,,,
wbr,alphaville,172.40.23.5,3000,,,
jaime2,philadelphia,10.26.6.134,3000,,,
jaime2,uniquetower,10.26.6.57,3000,,,
jaime2,edsimone,10.26.9.205,3000,,,
jaime2,ednetware,10.26.7.104,3000,,,
jaime2,grandvue,10.26.5.50,3000,,,
jaime2,chatbagnols,10.26.34.108,3000,,,
jaime2,chatmontgny,10.26.24.21,3000,,,
jaime2,edmaceio,10.26.36.188,3000,,,
jaime2,edguaeca,10.26.14.219,3000,,,
jaime2,edmirage,10.26.21.126,3000,,,
jaime2,palaisimperial,10.26.6.110,3000,,,
jaime2,domingosl,10.26.38.167,3000,,,
jaime2,paulosetubal,10.26.17.132,3000,,,
